call_id, lat, lng, call_time, total_time, vehicle_num,amb_segment_id
20100011724577,17.52166667,78.66944444,11/1/10 0:21:18,69,AP29U6089,467
20100011725088,17.16944444,77.79555556,11/1/10 1:53:51,39,AP29TA3691,795
20100011725937,17.3616156,78.4760474,11/1/10 5:24:26,22,AP28W8392,865
20100011726424,17.4463951,78.5022699,11/1/10 6:15:40,24,AP29TA3301,790
20100011727005,17.3962512,78.5017954,11/1/10 6:50:51,39,AP29TA4705,5495
20100011728356,17.32416667,78.41805556,11/1/10 7:43:09,28,AP29TA3107,5517
20100011728565,17.385044,78.486671,11/1/10 7:49:42,40,AP28W3817,1042
20100011731022,17.29333333,77.86416667,11/1/10 9:19:45,17,AP28W8394,5499
20100011732746,17.47305556,78.42305556,11/1/10 10:20:04,16,AP29TA3306,781
20100011738316,17.20166667,77.96333333,11/1/10 13:10:37,84,AP29U6191,698
20100011738497,17.35222222,78.57333333,11/1/10 13:15:32,46,AP29TA3300,1345
20100011738907,17.51472222,78.44777778,11/1/10 13:28:23,59,AP29TA3771,1112
20100011739269,16.96194444,77.80888889,11/1/10 13:39:01,51,AP28TA2991,1023
20100011740041,17.42222222,78.55833333,11/1/10 13:59:27,98,AP29TA4705,5495
20100011743327,17.3984144,78.4869592,11/1/10 15:23:19,32,AP28TA2980,788
20100011744771,17.3616156,78.4760474,11/1/10 16:02:58,47,AP28W9202,805
20100011745021,17.3891379,77.8367282,11/1/10 16:10:38,30,AP28W3817,1042
20100011746598,16.92333333,77.80722222,11/1/10 16:50:25,30,AP28W4643,5482
20100011748071,17.4845455,78.4116672,11/1/10 17:25:59,69,AP29TA3306,781
20100011749021,17.59083333,78.41805556,11/1/10 17:53:29,19,AP29TA3771,1112
20100011753474,17.3957323,78.4412297,11/1/10 19:38:41,66,AP29TA3107,5517
20100011753492,17.385044,78.486671,11/1/10 19:39:25,55,AP29TA3301,790
20100011754653,17.3638489,78.5348507,11/1/10 20:10:33,29,AP29TA3300,1345
20100011755246,17.385044,78.486671,11/1/10 20:27:17,33,AP28W4790,5515
20100011755762,17.47305556,78.42305556,11/1/10 20:42:55,42,AP28TA2991,1023
20100011757884,17.3683753,78.5301903,11/1/10 22:17:09,31,AP28TA2981,847
20100011757964,17.4101686,78.5050269,11/1/10 22:22:25,37,AP29TA4985,792
20100011758737,17.35222222,78.57333333,11/1/10 23:20:53,67,AP28W7689,796
20100011758924,17.3683753,78.5301903,11/1/10 23:43:42,96,AP29U6222,5477
20100011759055,17.4137713,78.4612226,11/2/10 0:08:25,17,AP28TA2980,788
20100011759736,17.3891379,77.8367282,11/2/10 2:49:01,38,AP28W9034,783
20100011759862,17.3479627,78.508485,11/2/10 3:39:18,71,AP28W4644,797
20100011759986,17.4319389,78.44769,11/2/10 4:26:36,23,AP28TA2991,1023
20100011760506,17.44972222,78.68444444,11/2/10 6:04:54,49,AP29TA3549,579
20100011761009,17.385044,78.486671,11/2/10 6:43:20,26,AP29TA3301,790
20100011763154,17.44111111,78.60138889,11/2/10 8:27:45,,AP29TA3105,799
20100011763392,17.44972222,78.68444444,11/2/10 8:37:39,22,AP29U6089,467
20100011763495,17.32416667,78.41805556,11/2/10 8:41:00,43,AP29TA3107,5517
20100011763508,17.3989544,78.4624064,11/2/10 8:41:48,30,AP28TA3631,789
20100011763576,17.385044,78.486671,11/2/10 8:44:17,43,AP29TA3650,802
20100011765203,17.17388889,77.87638889,11/2/10 9:57:24,38,AP28TA3122,775
20100011765442,17.4224217,78.5384121,11/2/10 10:07:51,32,AP29TA3301,790
20100011765466,17.3893132,78.4991384,11/2/10 10:08:49,31,AP28TA3631,789
20100011765489,17.385044,78.486671,11/2/10 10:09:45,30,AP28W4790,5515
20100011765737,17.4592483,78.3214049,11/2/10 10:19:37,30,AP29TA4911,5507
20100011766231,17.32416667,78.41805556,11/2/10 10:38:42,46,AP29TA3487,803
20100011766255,17.4092512,78.5065211,11/2/10 10:39:45,50,AP29TA4705,5495
20100011766391,17.3762894,78.4949434,11/2/10 10:45:49,32,AP28W7689,796
20100011768386,17.3957323,78.4412297,11/2/10 12:01:15,34,AP28TA3631,789
20100011768584,17.453333,78.4625,11/2/10 12:08:52,51,AP28W8392,865
20100011768625,17.32416667,78.41805556,11/2/10 12:10:21,35,AP29TA3650,802
20100011768739,17.3683753,78.5301903,11/2/10 12:14:41,15,AP28TA2981,847
20100011769574,17.19638889,78.65194444,11/2/10 12:42:25,52,AP29U6432,5496
20100011772261,17.385044,78.486671,11/2/10 14:06:26,36,AP29TA3301,790
20100011774531,17.4382107,78.488692,11/2/10 15:17:41,42,AP29TA4705,5495
20100011776370,17.47305556,78.42305556,11/2/10 16:11:28,38,AP29TA3306,781
20100011776465,17.3479627,78.508485,11/2/10 16:14:20,29,AP28W4644,797
20100011777012,17.385044,78.486671,11/2/10 16:28:40,51,AP29TA4705,5495
20100011778520,17.4240077,78.5012651,11/2/10 17:09:02,99,AP28TA3122,775
20100011778725,17.32416667,78.41805556,11/2/10 17:15:05,23,AP29TA3107,5517
20100011778761,17.36527778,78.52888889,11/2/10 17:16:09,56,AP29TA3300,1345
20100011781855,17.4687875,78.538996,11/2/10 18:34:22,33,AP28W9034,783
20100011781862,17.35,77.81833333,11/2/10 18:34:28,46,AP29TA3330,826
20100011782317,17.4875,78.60333333,11/2/10 18:47:36,76,AP29TA3325,556
20100011782707,17.32,78.69527778,11/2/10 18:56:21,36,AP29U6222,5477
20100011783990,17.4092512,78.5065211,11/2/10 19:22:47,36,AP29TA4705,5495
20100011784718,17.385044,78.486671,11/2/10 19:42:26,36,AP29TA3630,897
20100011786383,17.3617667,78.4737736,11/2/10 20:23:43,31,AP29TA4985,792
20100011786740,17.35,77.81833333,11/2/10 20:33:56,31,AP29U4259,787
20100011786745,17.385044,78.486671,11/2/10 20:33:58,52,AP29TA3330,826
20100011788585,17.61388889,78.51944444,11/2/10 21:37:25,47,AP29TA4705,5495
20100011789693,17.9965632,78.9898564,11/2/10 22:39:49,22,AP29TA3301,790
20100011789786,17.4224217,78.5384121,11/2/10 22:46:49,32,AP29TA4705,5495
