lat,lng,amb_num,seg_id
16.96194444,77.80888889,AP28TA3122,775
17.44111111,77.70916667,AP29U4235,685
17.30472222,78.13694444,AP29TA4909,678
17.3891379,77.8367282,AP29TA3771,1112
17.21333333,77.64305556,AP28W8684,5490
17.4521411,78.3303469,AP29TA4911,5507
16.92333333,77.80722222,AP29TA3719,686
17.44972222,78.68444444,AP29U6089,467
17.39277778,78.69138889,AP29U5017,5484
17.5239154,78.4702215,AP28W9300,779
17.06388889,78.49083333,AP29TA3649,1228
17.52166667,78.66944444,AP29TA3325,556
17.25611111,77.56,AP29TA3331,780
17.47305556,78.42305556,AP29TA3306,781
17.0125,77.87694444,AP29U6222,5477
17.35222222,78.57333333,AP28W4643,5482
17.13222222,78.43611111,AP29U6434,254
17.42944444,78.58694444,AP28W8394,5499
17.33472222,78.32861111,AP29U4226,1370
17.51694444,77.89916667,AP29U4250,962
17.17388889,77.87638889,AP29U6191,698
17.33861111,77.66194444,AP29U4240,5512
17.32416667,78.41805556,AP29TA3107,5517
17.36527778,78.52888889,AP29TA3300,1345
17.16194444,78.13333333,AP29U4238,704
17.59416667,78.57666667,AP29U4685,253
17.26,78.3975,AP28TA3617,5493
17.45166667,78.13305556,AP29TA3484,682
17.29638889,77.54305556,AP29TA3712,245
17.33777778,77.91777778,AP29TA3106,658
17.21333333,77.64305556,AP29U4236,5479
17.37546,78.500611,AP29TA3105,799
17.441691,78.445357,AP28TA2991,1023
17.369309,78.458476,AP28W8392,865
17.343823,78.546005,AP28TA2981,847
17.434774,78.527878,AP28W9036,1247
17.416231,78.450073,AP28W4790,5515
17.389275,78.499197,AP29TA4985,792
17.41124,78.464441,AP28TA2980,788
17.393869,78.46773,AP28TA3631,789
17.437208,78.543424,AP29TA3330,826
17.38015,78.42063,AP29TA3650,802
17.389585,78.452248,AP29TA3487,803
17.443587,78.490679,AP29TA3301,790
17.414488,78.483013,AP29TA3630,897
17.340561,78.50696,AP28W4644,797
17.421311,78.526009,AP29TA4705,5495
17.472339,78.509663,AP28W3817,1042
18.05019,78.2647,AP29U6122,446
17.04776,80.09819,AP29U6160,1323
